X,Y,shop,name,addr:street,name:en,addr:postcode,opening_hours,website,addr:housenumber,addr:city,name:mk,operator,phone,wheelchair,addr:street:en,level,addr:city:en,addr:country,addr:housename,designation,internet_access,payment:cash,payment:credit_cards
"21.4010157,41.9938597,supermarket,Кам маркет Козле,Козле,Kam Market Kosle,1000,""Mo-Sa 08:00-21:30 - Su 08:00-16:00"",http://www.kam.com.mk,бб,Скопје,,,+389 2 3085233,yes,Kosle,,Skopje,,,,,,"
21.4085105,41.9972875,supermarket,Рептил,Атинска,Reptil,1000,,,,,,,,,,,,,,,,,
21.4357477,42.0129113,supermarket,,Џон Кенеди,,,,,,,,,,,,,,,,,,,
21.4345769,41.9947502,supermarket,Веро 7,Кеј 13 Ноември,Vero 7,1000,08:00-22:00,https://vero.com.mk/Marketi/Vero7,,Cкoпje,,Веро,+389 2 3232640,yes,Kej 13 Noemvri,-1,,MK,Gradski Trgovski Centar (GTC),,,,
21.4365241,42.0007151,supermarket,,,corner shop,,,,,,,,,,,,,,,,,,
21.4365741,42.0017435,department_store,,,,,,,,,,,,,,,,,,,,,
21.4177897,41.9994766,supermarket,,,,,,,,,,,,,,,,,,,,,
21.4175012,42.0007316,supermarket,КАМ,,,,,,,,,,,,,,,,,,,,
21.4187447,41.9992364,supermarket,,,,,,,,,,,,,,,,,,,,,
21.4220152,41.9990831,supermarket,Tinex,,,,,,,,,,,,,,,,,,,,
21.4168227,42.0011849,supermarket,,,,,Mo-Sa 09:00-22:00,,,,,,,,,,,,,,,,
21.4233757,41.9983625,supermarket,Kapael Tobacco,Булевар Партизански Одреди,,1000,Mo-Su 08:00-01:00,http://www.facebook.com/tobaccokapael/?fref=ts,23,,,,02 6090240,,,,,,,,wlan,,
21.3610348,42.0094581,department_store,PAMS Shoe Store 1,,,,,http://www.pams.mk,,,,,,,,,,,,Shoe store,,,
"21.3634616,42.0070862,supermarket,Тинекс Ѓорче Петров,Булевар Ѓорче Петров,,1000,""Mo-Sa 08:00-22:00 - Su 08:00-20:00"",http://tinex.com.mk,10,,,TINEX,+389 2 2045680,,,,,,,,,,"
21.3649348,42.0068279,supermarket,SP Planet,,,,,,,,,,,,,,,,,,,,
21.3704929,42.0075655,supermarket,Reptil,,,,,,,,,,,,,,,,,,,,
21.356581,42.0197432,supermarket,Market Kiki,,,,,,,,,,,,,,,,,,,,
21.4259798,42.0011184,supermarket,,,,,,,,,,,,,,,,,,,,,
21.4210729,41.9905755,kiosk,,,,,,,,,,,,,,,,,,,,,
21.4199718,41.9929149,supermarket,Тинекс,,Tinex,1000,Mo-Su 08:00-22:00,,,,Tinex,,,,,,,,,,,,
"21.4207815,41.9948735,supermarket,Веро 5,,Vero 5,,""08:00-22:00"",https://vero.com.mk/Marketi/Vero5,,,,Веро,+389 2 3220244,yes,,,,,,,,,"
21.4199363,41.9966577,supermarket,,,,,,,,,,,,,,,,,,,,,
